"city","year","weekofyear","total_cases"
"sj",2008,18,3
"sj",2008,19,5
"sj",2008,20,7
"sj",2008,21,7
"sj",2008,22,8
"sj",2008,23,7
"sj",2008,24,6
"sj",2008,25,7
"sj",2008,26,7
"sj",2008,27,8
"sj",2008,28,7
"sj",2008,29,8
"sj",2008,30,7
"sj",2008,31,8
"sj",2008,32,8
"sj",2008,33,6
"sj",2008,34,8
"sj",2008,35,9
"sj",2008,36,8
"sj",2008,37,9
"sj",2008,38,8
"sj",2008,39,9
"sj",2008,40,8
"sj",2008,41,8
"sj",2008,42,8
"sj",2008,43,6
"sj",2008,44,9
"sj",2008,45,9
"sj",2008,46,9
"sj",2008,47,8
"sj",2008,48,7
"sj",2008,49,6
"sj",2008,50,5
"sj",2008,51,7
"sj",2008,52,6
"sj",2009,1,3
"sj",2009,2,3
"sj",2009,3,4
"sj",2009,4,4
"sj",2009,5,4
"sj",2009,6,4
"sj",2009,7,4
"sj",2009,8,5
"sj",2009,9,4
"sj",2009,10,5
"sj",2009,11,5
"sj",2009,12,5
"sj",2009,13,5
"sj",2009,14,4
"sj",2009,15,5
"sj",2009,16,3
"sj",2009,17,5
"sj",2009,18,6
"sj",2009,19,6
"sj",2009,20,5
"sj",2009,21,5
"sj",2009,22,6
"sj",2009,23,6
"sj",2009,24,7
"sj",2009,25,8
"sj",2009,26,7
"sj",2009,27,7
"sj",2009,28,7
"sj",2009,29,7
"sj",2009,30,7
"sj",2009,31,7
"sj",2009,32,8
"sj",2009,33,7
"sj",2009,34,8
"sj",2009,35,8
"sj",2009,36,8
"sj",2009,37,9
"sj",2009,38,9
"sj",2009,39,7
"sj",2009,40,7
"sj",2009,41,7
"sj",2009,42,8
"sj",2009,43,8
"sj",2009,44,8
"sj",2009,45,6
"sj",2009,46,6
"sj",2009,47,6
"sj",2009,48,6
"sj",2009,49,7
"sj",2009,50,7
"sj",2009,51,5
"sj",2009,52,5
"sj",2010,53,6
"sj",2010,1,5
"sj",2010,2,6
"sj",2010,3,4
"sj",2010,4,3
"sj",2010,5,3
"sj",2010,6,5
"sj",2010,7,5
"sj",2010,8,4
"sj",2010,9,5
"sj",2010,10,4
"sj",2010,11,5
"sj",2010,12,4
"sj",2010,13,5
"sj",2010,14,5
"sj",2010,15,4
"sj",2010,16,5
"sj",2010,17,5
"sj",2010,18,5
"sj",2010,19,5
"sj",2010,20,5
"sj",2010,21,8
"sj",2010,22,7
"sj",2010,23,7
"sj",2010,24,7
"sj",2010,25,7
"sj",2010,26,8
"sj",2010,27,8
"sj",2010,28,7
"sj",2010,29,6
"sj",2010,30,6
"sj",2010,31,8
"sj",2010,32,6
"sj",2010,33,7
"sj",2010,34,7
"sj",2010,35,8
"sj",2010,36,6
"sj",2010,37,7
"sj",2010,38,7
"sj",2010,39,8
"sj",2010,40,8
"sj",2010,41,8
"sj",2010,42,7
"sj",2010,43,8
"sj",2010,44,8
"sj",2010,45,7
"sj",2010,46,6
"sj",2010,47,8
"sj",2010,48,7
"sj",2010,49,7
"sj",2010,50,6
"sj",2010,51,5
"sj",2011,52,0
"sj",2011,1,4
"sj",2011,2,3
"sj",2011,3,4
"sj",2011,4,3
"sj",2011,5,4
"sj",2011,6,3
"sj",2011,7,4
"sj",2011,8,3
"sj",2011,9,3
"sj",2011,10,2
"sj",2011,11,4
"sj",2011,12,4
"sj",2011,13,5
"sj",2011,14,4
"sj",2011,15,4
"sj",2011,16,4
"sj",2011,17,6
"sj",2011,18,6
"sj",2011,19,5
"sj",2011,20,5
"sj",2011,21,6
"sj",2011,22,5
"sj",2011,23,8
"sj",2011,24,6
"sj",2011,25,6
"sj",2011,26,8
"sj",2011,27,6
"sj",2011,28,6
"sj",2011,29,7
"sj",2011,30,7
"sj",2011,31,9
"sj",2011,32,8
"sj",2011,33,7
"sj",2011,34,9
"sj",2011,35,8
"sj",2011,36,7
"sj",2011,37,7
"sj",2011,38,7
"sj",2011,39,7
"sj",2011,40,7
"sj",2011,41,8
"sj",2011,42,8
"sj",2011,43,7
"sj",2011,44,8
"sj",2011,45,7
"sj",2011,46,6
"sj",2011,47,7
"sj",2011,48,7
"sj",2011,49,6
"sj",2011,50,5
"sj",2011,51,6
"sj",2012,52,-1
"sj",2012,1,3
"sj",2012,2,4
"sj",2012,3,4
"sj",2012,4,3
"sj",2012,5,4
"sj",2012,6,4
"sj",2012,7,4
"sj",2012,8,3
"sj",2012,9,4
"sj",2012,10,5
"sj",2012,11,3
"sj",2012,12,4
"sj",2012,13,5
"sj",2012,14,4
"sj",2012,15,4
"sj",2012,16,4
"sj",2012,17,4
